"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
2148,"1","45-50","Partner","Professional","Professional","Rent Privately",">=35,000","Yes","Yes",1999,"HTV","SN4 7EJ","SN4",0,0,196.95,132.42,0,0,21.47,24.18,7.49,2.48,0,2,"Female","South West",65.87,9.27,30.93,87.48
8099,"1","61-65","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1959,"Unknown","CH63 8QN","CH63",0,77.89,0,134.39,0,7.99,14.98,0,0,3.99,0,2,"Female","Unknown",42.46,4.49,26.23,110.73
6611,"3","31-35","Partner","Professional","Professional","Own Home",">=35,000","No","No",1992,"Anglia","NR31 9UN","NR31",119.98,0,96.94,0,159.97,0,0,0,0,0,0,2,"Male","East Anglia",75.38,0,26.66,127.57
1950,"Zero","55-60","Partner","Professional","Professional","Own Home",">=35,000","No","No",1990,"Granada","WA8 9FY","WA8",0,39.99,0,133.93,0,39.48,0,0,2,0,0,2,"Female","North West",34.78,6.91,29.24,33.79
10857,"2","51-55","Partner","Manual Worker","Manual Worker","Own Home","<27,500, >=25,000","Yes","Yes",1994,"TV South West","PL25 3LT","PL25",0,161.47,14.99,58.97,7.49,57.46,0,0,0,0,0,2,"Female","South West",48.58,9.58,20.65,56.17
10853,"2","31-35","Partner","Professional","Professional","Own Home","<25,000, >=22,500","No","No",1988,"Tyne Tees","DH3 2HE","DH3",0,89.98,0,292.36,4.99,81.9,30.48,49.44,52.94,7.46,7.98,1,"Male","North",77.47,38.37,85.35,200.23
1495,"3","36-40","Partner","Secretarial/Admin","Unknown","Own Home","<25,000, >=22,500","Yes","Yes",1988,"Grampian","ZE2 9BJ","ZE2",0,0,0,57.98,14.49,165.87,0,418.22,2.99,37.44,31.97,2,"Female","Scotland",14.49,109.42,109.93,177.31
9602,"1","41-45","Partner","Other","Professional","Own Home","<15,000, >=12,500","No","No",1968,"Yorkshire","BD13 1LP","BD13",200.44,231.42,110.93,222.91,42.76,24.97,213.29,61.97,25.98,2.99,0,2,"Female","Unknown",161.69,54.87,98.65,306.17
5402,"2","26-30","Partner","Secretarial/Admin","Manual Worker","Own Home","<17,500, >=15,000","No","No",1990,"Central","TF3 2DN","TF3",9.99,0,0,0,0,0,0,0,0,7.48,0,2,"Female","West Midlands",2,1.25,0,46.31
6343,"3","31-35","Partner","Business Manager","Manual Worker","Own Home","<27,500, >=25,000","No","No",1992,"Meridian","BH15 4DW","BH15",0,190.97,0,20.51,64.48,11.99,0,49.46,0,0,0,2,"Female","South West",55.19,10.24,24.41,53.09
6370,"3","26-30","Partner","Housewife","Business Manager","Own Home","<27,500, >=25,000","No","No",1991,"Central","DE7 4AA","DE7",0,0,19.99,21.99,0,0,0,73.85,0,22.88,0,2,"Female","East Midlands",8.4,16.12,15.97,22.5
2768,"2","41-45","Partner","Secretarial/Admin","Unknown","Own Home","<27,500, >=25,000","No","Yes",1998,"Meridian","M13 3EN","M13",0,32.18,9.44,126.77,18.47,80.29,162.18,83.18,53.95,16.47,378.22,1,"Female","North West",37.37,129.05,87.47,193.85
8769,"1","45-50","Partner","Manual Worker","Unknown","Own Home","<15,000, >=12,500","No","No",1982,"Carlton","EN1 1LB","EN1",19.99,37.99,0,0,0,0,42.96,0,0,0,31.99,2,"Male","South East",11.6,12.49,7.16,61.26
2097,"1","26-30","Single/Never Married","Professional","Professional","Own Home",">=35,000","No","No",1993,"Yorkshire","BD16 3EW","BD16",0,145.44,59.47,97.45,0,19.98,12.99,34.96,19.96,0,0.8,2,"Female","Unknown",60.47,14.78,30.89,93.72
4672,"1","45-50","Partner","Housewife","Professional","Own Home",">=35,000","No","Yes",1971,"Meridian","CT5 4PF","CT5",0,193.43,19.49,186.4,10.48,48.43,0,153.88,16.94,0,18.45,2,"Female","South East",81.96,39.62,69.36,190.06
9816,"Zero","51-55","Partner","Housewife","Retired","Own Home","<27,500, >=25,000","No","No",1994,"Anglia","NR8 5BN","NR8",15.99,44.47,5.03,24.47,11.47,76.43,117.89,31.95,1.99,0,0,2,"Female","East Anglia",20.29,38.04,44.03,121.42
11226,"Zero","65-70","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1988,"Anglia","MK8 9EQ","MK8",0,0,0,33.48,0,50.96,0,0,0,1.99,0,2,"Male","South East",6.7,8.83,14.07,12.45
2614,"Zero","61-65","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1986,"Meridian","SO31 7TT","SO31",50.48,119.46,0,50.98,0,5.99,0,66.43,14.98,0,0,2,"Female","South East",44.18,14.57,23.06,86.69
5135,"2","36-40","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<25,000, >=22,500","No","No",1985,"Granada","WA5 2TA","WA5",93.46,0,0,0,29.98,0,0,0,0,0,0,2,"Female","North West",24.69,0,5,37.57
853,"Zero","51-55","Partner","Secretarial/Admin","Manual Worker","Own Home","<30,000, >=27,500","No","No",1990,"Anglia","NR16 2PY","NR16",0,60.49,0,0,0,7.49,0,47.96,0,0,0,2,"Female","East Anglia",12.1,9.24,9.24,2.13
7625,"1","26-30","Partner","Secretarial/Admin","Manual Worker","Own Home",">=35,000","No","No",1988,"Carlton","M6 5AU","M6",0,0,0,0,0,0,0,0,4.98,0,0,2,"Female","North West",0,0.83,0.83,-19.21
4466,"1","41-45","Divorced/Separated","Professional","Unknown","Own Home","<25,000, >=22,500","No","No",1981,"Granada","BL8 2DJ","BL8",0,0,0,0,0,19.98,0,0,0,19.44,0,2,"Female","North West",0,6.57,3.33,40.82
9630,"1","55-60","Partner","Professional","Professional","Own Home",">=35,000","Yes","Yes",1979,"Anglia","NR30 4DZ","NR30",106.43,25.99,79.97,128.44,71.45,92.47,4.49,38.97,9.99,4.38,30,2,"Female","East Anglia",82.46,30.05,57.64,210.79
1738,"Zero","65-70","Widowed","Retired","Unknown","Own Home","< 4,000","No","No",1959,"Granada","WN4 0JZ","WN4",0,9.48,0,44.97,0,59.47,0,57.93,0,0,0,2,"Female","North West",10.89,19.57,27.06,-13.34
4014,"2","26-30","Partner","Other","Manual Worker","Own Home","<25,000, >=22,500","No","No",1993,"Carlton","EN6 3HL","EN6",0,24.96,44.99,11.47,0,3.49,0,29.49,0,0,0,2,"Female","South East",16.28,5.5,7.41,91.96
5632,"Zero","45-50","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1988,"Carlton","AL10 0PE","AL10",53.46,19.99,24.99,19.48,16.47,9.97,0,37.47,3.49,0,0,2,"Female","South East",26.88,8.49,14.48,71.15
1724,"2","51-55","Partner","Business Manager","Retired","Own Home","<27,500, >=25,000","Yes","No",1988,"Granada","PR9 7RL","PR9",0,22.97,43.45,46.98,31.98,92.39,6.99,13.47,0,9.98,0,2,"Male","North West",29.08,20.47,31.97,67.41
4123,"3","31-35","Partner","Other","Professional","Own Home",">=35,000","No","No",1992,"Ulster","BT27 5AU","BT27",0,0,0,25.99,0,54.39,0,1.03,0,0,0,2,"Female","Northern Ireland",5.2,9.24,13.57,87.36
11056,"1","31-35","Partner","Housewife","Professional","Rent Privately",">=35,000","No","No",1994,"Anglia","LU6 2DF","LU6",0,55.53,20.49,19.45,44.44,26.04,24.97,9.49,2,0,0,2,"Female","South East",27.98,10.42,21.07,70.55
1529,"Zero","51-55","Partner","Business Manager","Manual Worker","Own Home","<25,000, >=22,500","No","No",1982,"Carlton","M12 4EY","M12",7.49,29.48,23.48,23.47,0,68.41,53.43,99.39,2.49,0,0,2,"Male","North West",16.78,37.29,41.2,84.67
118,"Zero","51-55","Partner","Retired","Unknown","Own Home","<20,000, >=17,500","No","No",1973,"Granada","L23 7TS","L23",240.44,0,0,0,12.97,34.99,0,0,0,0,0,1,"Male","North West",50.68,5.83,7.99,102.57
1900,"Zero","55-60","Partner","Retired","Housewife","Own Home","<20,000, >=17,500","No","No",1975,"Anglia","IP30 9SD","IP30",0,174.49,0,7.99,61.15,39.45,0,73.44,0,0,0,2,"Male","East Anglia",48.73,18.82,30.34,72.82
9317,"1","26-30","Partner","Secretarial/Admin","Business Manager","Own Home","<30,000, >=27,500","No","No",1998,"Carlton","KT9 1EG","KT9",0,17.98,0,0,19.98,0,16,0.01,0,0,0,2,"Female","South East",7.59,2.67,6,3.34
9977,"Zero","41-45","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<22,500, >=20,000","No","No",1995,"Scottish TV","G67 1JQ","G67",0,29.99,59.48,15.47,0,28.49,13.49,0,0,0,0,2,"Male","Scotland",20.99,7,9.58,8.01
5914,"Zero","55-60","Partner","Housewife","Professional","Own Home","<30,000, >=27,500","No","Yes",1978,"Meridian","L4 9PH","L4",39.98,39.96,150.92,223.85,265.84,75.92,0,50.37,19.99,0,0,2,"Female","North West",144.11,24.38,106,209.21
7216,"1","45-50","Partner","Secretarial/Admin","Manual Worker","Own Home",">=35,000","No","No",1986,"Central","CV23 8YE","CV23",23.97,55.97,79.93,87.42,71.92,37.91,223.71,85.4,47.42,9.97,35.43,2,"Female","West Midlands",63.84,73.31,92.3,223.44
